epoch,scheme_mult_train_acc,scheme_mult_train_loss,scheme_mult_val_acc,scheme_mult_val_loss,scheme_add_train_acc,scheme_add_train_loss,scheme_add_val_acc,scheme_add_val_loss,scheme_cat_train_acc,scheme_cat_train_loss,scheme_cat_val_acc,scheme_cat_val_loss
0.73,42.817,105.77158832550049,40.7,1.0761102437973022,49.907,100.50923597812653,48.8,1.0190863609313965,57.55,90.29648673534393,57.4,0.906054675579071
0.74,43.146,105.48776638507843,40.3,1.07481050491333,49.867,100.72575271129608,48.0,1.014792561531067,57.702,90.06638824939728,57.1,0.9137739539146423
0.75,42.786,105.68822979927063,40.3,1.0791337490081787,50.103,100.45805341005325,48.4,1.0114219188690186,57.217,90.27914017438889,56.9,0.9130184054374695
0.76,43.521,106.08503663539886,43.0,1.0763760805130005,50.303,100.20945751667023,48.6,1.0124907493591309,56.969,90.71606892347336,55.3,0.918128252029419
0.77,42.21,106.03467750549316,38.4,1.0732698440551758,49.965,100.51623505353928,50.9,1.0092129707336426,57.369,90.40882956981659,57.6,0.9103701114654541
0.78,42.086,106.39209818840027,39.3,1.0862236022949219,50.211,100.3252545595169,50.4,1.0116143226623535,57.816,89.8253264427185,56.5,0.9056299924850464
0.79,43.685,105.37673151493073,41.2,1.0730620622634888,49.834,100.47810941934586,46.9,1.0211721658706665,58.064,89.42278081178665,56.9,0.9134088754653931
0.8,44.5,105.22870910167694,43.4,1.0674794912338257,49.841,100.43252372741699,48.2,1.014447569847107,58.144,89.3088686466217,56.9,0.9000645279884338
0.81,43.646,105.53817355632782,42.3,1.0729962587356567,50.329,100.20023339986801,51.1,1.0012682676315308,58.017,89.57356947660446,56.3,0.9068441390991211
0.82,44.388,104.8257508277893,42.3,1.0729005336761475,49.066,101.7091736793518,48.2,1.0234054327011108,57.942,89.95279961824417,57.1,0.9046311974525452
0.83,43.342,105.41091775894165,39.7,1.0792474746704102,49.771,100.56508386135101,50.2,1.015911340713501,58.149,89.8558280467987,57.6,0.9173400402069092
0.84,42.813,105.88728713989258,39.4,1.0871697664260864,49.506,100.86415308713913,49.5,1.0114935636520386,58.267,89.09113103151321,58.2,0.8850919008255005
0.85,43.723,104.98961460590363,39.5,1.0775214433670044,48.486,101.68391901254654,46.1,1.0313125848770142,57.815,89.71079456806183,58.2,0.8994542360305786
0.86,44.398,104.56111657619476,42.2,1.0722734928131104,50.47,100.08652949333191,48.2,1.0137196779251099,57.572,89.92365115880966,56.6,0.9065126180648804
0.87,43.722,105.58198356628418,43.0,1.075789213180542,50.114,100.40705996751785,49.8,1.0130376815795898,58.392,89.09960103034973,57.3,0.8943637609481812
0.88,44.634,104.34558725357056,43.0,1.0676530599594116,48.638,101.22473585605621,47.1,1.022342562675476,58.421,89.2338297367096,59.1,0.89073646068573
0.89,44.126,104.42275595664978,43.2,1.0639890432357788,47.954,101.60090094804764,46.8,1.0276379585266113,58.463,89.04306954145432,57.6,0.8985480070114136
0.9,43.952,104.70835399627686,39.4,1.0718424320220947,49.024,100.87641417980194,48.1,1.0192973613739014,58.375,88.74512022733688,57.0,0.896358072757721
0.91,45.026,104.16483473777771,43.4,1.0668519735336304,50.566,100.0476650595665,52.6,1.006568193435669,58.666,88.5630994439125,57.5,0.8966075778007507
0.92,45.278,104.28092586994171,43.9,1.0618661642074585,50.286,100.3307256102562,50.7,1.0039894580841064,58.39,88.48320299386978,56.8,0.8991335034370422
0.93,43.858,105.106525182724,43.1,1.0668983459472656,49.456,101.12897497415543,48.7,1.0246624946594238,58.114,88.88954842090607,57.3,0.8913836479187012
0.94,45.678,103.95389902591705,45.4,1.055375099182129,50.43,100.23451244831085,48.6,1.0161230564117432,58.142,88.81367290019989,57.0,0.8877637982368469
0.95,45.312,103.85116279125214,44.2,1.0575783252716064,50.349,100.16831976175308,49.6,1.0091989040374756,58.499,88.28272211551666,58.0,0.8892455101013184
0.96,44.708,104.19261729717255,42.8,1.0607904195785522,49.505,100.69770812988281,49.4,1.0075794458389282,58.638,88.27927136421204,57.6,0.8980133533477783
0.97,45.16,103.91999924182892,43.8,1.0604572296142578,48.363,101.36319375038147,48.0,1.0300486087799072,58.676,88.41953814029694,57.3,0.8947082757949829
0.98,46.02,103.43861198425293,44.4,1.0531020164489746,50.384,99.68707609176636,51.6,1.0011990070343018,58.639,88.40546816587448,58.8,0.8830754160881042
0.99,46.156,103.77683329582214,45.4,1.0492448806762695,51.186,99.57240331172943,50.1,1.007076382637024,58.897,88.28304105997086,56.6,0.8960319757461548
1.01,46.507,103.10435342788696,46.7,1.0509004592895508,49.668,100.66032391786575,47.9,1.0193027257919312,59.167,88.01016843318939,58.3,0.887204647064209
1.02,45.663,103.6906965970993,44.7,1.0578645467758179,50.265,100.068787753582,49.4,1.0114357471466064,59.295,87.78613007068634,57.8,0.8904372453689575
1.03,44.94,104.66682827472687,43.3,1.06780207157135,51.206,99.68020278215408,51.2,1.0062553882598877,59.095,87.71285486221313,57.2,0.8847139477729797
