epoch,dropout_0_train_acc,dropout_0_train_loss,dropout_0_val_acc,dropout_0_val_loss,dropout_0.1_train_acc,dropout_0.1_train_loss,dropout_0.1_val_acc,dropout_0.1_val_loss,dropout_0.3_train_acc,dropout_0.3_train_loss,dropout_0.3_val_acc,dropout_0.3_val_loss,dropout_0.5_train_acc,dropout_0.5_train_loss,dropout_0.5_val_acc,dropout_0.5_val_loss,dropout_0.7_train_acc,dropout_0.7_train_loss,dropout_0.7_val_acc,dropout_0.7_val_loss,dropout_0.9_train_acc,dropout_0.9_train_loss,dropout_0.9_val_acc,dropout_0.9_val_loss
0.35,57.75,90.33824795484543,57.5,0.9186903238296509,56.322,92.83511179685593,56.4,0.9359718561172485,56.406,92.8486858010292,55.6,0.9347101449966431,51.541,99.28677505254745,53.1,0.995697021484375,48.211,101.9034566283226,48.0,1.0207164287567139,42.817,109.81710994243622,42.6,1.0982623100280762
0.36,57.634,90.3471497297287,57.5,0.9199407696723938,56.552,92.46596056222916,56.8,0.9315297603607178,56.765,92.23076403141022,57.2,0.9300355911254883,52.637,98.51914954185486,53.9,0.9870150685310364,48.802,101.57710093259811,47.6,1.0174832344055176,42.352,109.81209468841553,41.0,1.0982177257537842
0.37,58.103,89.8548818230629,57.1,0.9154369831085205,56.502,91.91084659099579,57.1,0.9275252223014832,57.043,91.79492044448853,56.8,0.9273348450660706,53.046,98.20118117332458,54.1,0.9836322069168091,49.638,101.32759219408035,48.3,1.0146026611328125,41.513,109.80637073516846,40.2,1.0981694459915161
0.38,58.556,89.36095488071442,57.4,0.9094103574752808,56.411,91.64048129320145,56.6,0.9267554879188538,56.508,92.28780311346054,55.2,0.9353242516517639,53.334,97.69672107696533,54.6,0.9790825843811035,50.056,101.34544897079468,48.8,1.0136476755142212,40.041,109.7999757528305,39.5,1.0981154441833496
0.39,58.708,89.36226952075958,57.9,0.9094462394714355,57.074,91.13070553541183,57.4,0.9236195087432861,56.328,92.43073731660843,55.5,0.9386945366859436,53.619,97.13487040996552,55.2,0.9756407141685486,50.101,101.32380145788193,49.8,1.0129859447479248,40.078,109.79140055179596,39.4,1.0980371236801147
0.4,58.854,88.82393395900726,58.0,0.9053834080696106,57.491,90.83014279603958,56.5,0.9210454225540161,57.482,91.03838455677032,56.8,0.9224140048027039,53.834,96.83417159318924,54.5,0.9742752313613892,50.889,100.7483925819397,50.2,1.0081568956375122,39.917,109.7821673154831,39.7,1.0979443788528442
0.41,57.809,89.99288022518158,57.1,0.9208647608757019,57.776,90.7077631354332,56.9,0.9178642630577087,57.151,91.78016155958176,57.0,0.927624523639679,54.724,95.992247402668,55.9,0.9645580649375916,51.04,100.32156789302826,51.5,1.0051000118255615,39.979,109.77096903324127,40.0,1.0978338718414307
0.42,58.334,89.25169461965561,56.9,0.9132111072540283,57.704,90.31494951248169,58.1,0.9139829277992249,56.833,92.40203195810318,56.6,0.9343371987342834,54.576,95.91044121980667,54.0,0.9634795784950256,50.883,100.24607622623444,51.3,1.0051530599594116,40.913,109.75397193431854,40.5,1.0976699590682983
0.43,59.217,88.59962224960327,58.0,0.9006734490394592,57.747,90.13013619184494,57.0,0.9134265184402466,57.619,91.34119427204132,56.7,0.9271195530891418,54.822,95.4265633225441,53.7,0.9615879058837891,51.424,99.95937967300415,51.8,1.001970648765564,41.573,109.7338969707489,42.0,1.097472071647644
0.44,59.211,88.65284305810928,57.7,0.9001366496086121,58.214,89.56220948696136,57.4,0.9099894762039185,58.306,90.30655431747437,56.7,0.9169126152992249,54.166,95.55120664834976,53.1,0.9642781019210815,52.061,99.62989592552185,54.0,0.9966791868209839,42.315,109.71008825302124,42.7,1.0972416400909424
0.45,59.705,87.62543535232544,59.9,0.8934210538864136,58.292,89.49853718280792,57.9,0.9115442037582397,57.99,90.35829520225525,57.7,0.9157139658927917,55.456,94.6158697605133,54.1,0.9538440108299255,51.383,99.9083166718483,52.8,0.9980648159980774,42.719,109.68449807167053,43.5,1.097000241279602
