epoch,scheme_mult_train_acc,scheme_mult_train_loss,scheme_mult_val_acc,scheme_mult_val_loss,scheme_add_train_acc,scheme_add_train_loss,scheme_add_val_acc,scheme_add_val_loss,scheme_cat_train_acc,scheme_cat_train_loss,scheme_cat_val_acc,scheme_cat_val_loss
0.96,52.148,98.49218559265137,52.0,0.9874265193939209,57.173,92.63590782880783,56.7,0.9306387305259705,62.576,82.82954132556915,60.6,0.8552133440971375
0.97,53.142,96.88219654560089,52.9,0.9710561633110046,56.163,93.80691289901733,54.1,0.9437263607978821,63.157,82.19929140806198,60.9,0.8476920127868652
0.98,54.921,95.19370818138123,53.9,0.9597756266593933,56.902,93.05497670173645,57.2,0.9405938386917114,63.374,82.07485157251358,61.7,0.8449288606643677
0.99,53.199,96.98656618595123,52.9,0.9800792932510376,56.971,92.8136458992958,56.6,0.936083972454071,63.248,82.3841080069542,61.1,0.8472014665603638
1.01,54.86,95.09650003910065,53.9,0.9525672793388367,57.253,92.32349342107773,56.4,0.9299988746643066,63.528,81.66890263557434,61.4,0.8414013385772705
1.02,53.202,96.58507865667343,52.8,0.9640069007873535,56.253,93.86086112260818,57.3,0.9511229991912842,63.016,82.28699904680252,61.1,0.8524034023284912
1.03,53.686,96.15442055463791,53.4,0.9615333080291748,57.412,92.11491775512695,57.2,0.9313707947731018,63.066,82.28345715999603,60.7,0.8546285629272461
1.04,55.057,95.06389200687408,54.6,0.9548302292823792,54.312,95.7164626121521,53.3,0.9604088664054871,63.34,81.8791795372963,61.4,0.8501527309417725
1.05,54.745,95.76833486557007,53.5,0.9652023911476135,57.718,91.5997200012207,56.6,0.924910843372345,63.511,81.75263547897339,61.3,0.8433942198753357
1.06,53.993,96.52194207906723,54.3,0.9733389616012573,54.804,95.40652680397034,54.7,0.9662432670593262,63.215,81.99032813310623,60.8,0.8426758646965027
1.07,54.959,95.22176641225815,54.2,0.9579765796661377,56.124,93.90006995201111,55.8,0.951195240020752,63.355,81.62022256851196,60.8,0.8410451412200928
1.08,55.169,94.88717120885849,54.7,0.9500499367713928,56.708,92.62952345609665,55.4,0.9326381087303162,63.248,81.80182892084122,61.0,0.8472146391868591
1.09,53.639,96.10543459653854,53.5,0.9598246216773987,54.157,95.72708332538605,54.3,0.9603119492530823,63.606,81.34735178947449,60.7,0.8436562418937683
1.1,54.024,95.6999419927597,53.6,0.9582653641700745,57.973,91.36485034227371,56.2,0.9227569699287415,63.605,81.37364357709885,61.5,0.8444394469261169
1.11,55.114,94.70364105701447,54.8,0.952600359916687,55.326,94.67592912912369,54.2,0.9582065343856812,63.57,81.55931198596954,61.8,0.8446260690689087
1.12,55.214,94.99924594163895,54.7,0.9575889706611633,55.156,94.5656133890152,54.9,0.9561684131622314,63.769,81.36080479621887,61.9,0.8395401835441589
1.13,55.03,94.81480348110199,54.2,0.9537397623062134,57.845,91.7458935379982,57.8,0.9274357557296753,63.964,81.01740455627441,61.8,0.8340249061584473
1.1400000000000001,55.317,94.4641420841217,54.2,0.9471325874328613,57.431,91.95431876182556,55.3,0.9271419644355774,63.946,80.8573357462883,62.8,0.8360599875450134
1.15,55.485,94.23360693454742,54.4,0.9424785375595093,56.085,93.2759051322937,54.4,0.9374909400939941,63.178,81.88804322481155,61.3,0.8494352698326111
1.16,55.322,94.21397596597672,54.3,0.9432178735733032,57.47,91.99311834573746,55.4,0.9258453845977783,63.968,80.90433484315872,62.4,0.8379928469657898
1.17,55.264,94.34273719787598,54.4,0.9495119452476501,58.312,91.25578284263611,57.2,0.9198790192604065,64.232,80.501884162426,63.2,0.8295750021934509
1.18,55.168,94.51943075656891,54.0,0.9535406827926636,55.997,93.4492980837822,55.8,0.942166268825531,64.114,80.87914997339249,62.2,0.83199542760849
1.19,55.529,94.19964212179184,55.6,0.9485622644424438,55.967,93.38727158308029,55.6,0.9407418370246887,64.162,80.80678707361221,62.2,0.8330194354057312
